Id,Source,Target,Type,Weight
10936,9841,9840,directed,1
10937,9842,9259,directed,1
10938,9844,9843,directed,1
10939,9846,9845,directed,1
10940,9848,9847,directed,1
10941,9850,9849,directed,1
10942,9852,9851,directed,1
10943,9854,9853,directed,1
10944,9856,9855,directed,1
10945,9857,9851,directed,1
10946,9859,9858,directed,1
10947,9861,9860,directed,1
10948,9862,9851,directed,1
10949,9863,9588,directed,1
10950,9864,9365,directed,1
10951,9866,9865,directed,1
10952,9868,9867,directed,1
10953,9869,9849,directed,1
10954,9870,9804,directed,1
10955,9871,9374,directed,1
10956,9872,9326,directed,1
10957,9873,9695,directed,1
10958,9875,9874,directed,1
10959,9876,9516,directed,1
10960,9877,9516,directed,1
10961,9878,9516,directed,1
10962,9880,9879,directed,1
10963,9881,9532,directed,1
10964,9882,9309,directed,1
10965,9883,9667,directed,1
10966,9884,9667,directed,1
10967,9885,9309,directed,1
10968,9886,9559,directed,1
10969,9887,9731,directed,1
10970,9889,9888,directed,1
10971,9890,9365,directed,1
10972,9891,9516,directed,1
10973,9892,9535,directed,1
10974,9894,9893,directed,1
10975,9895,9593,directed,1
10976,9896,9568,directed,1
10977,9897,9469,directed,1
10978,9898,9532,directed,1
10979,9899,9551,directed,1
10980,9900,9559,directed,1
10981,9901,9562,directed,1
10982,9902,9465,directed,1
10983,9903,9667,directed,1
10984,9905,9904,directed,1
10985,9906,9551,directed,1
10986,9908,9907,directed,1
10987,9910,9909,directed,1
10988,9911,9687,directed,1
10989,9913,9912,directed,1
10990,9914,9687,directed,1
10991,9916,9915,directed,1
10992,9917,9535,directed,1
10993,9918,9516,directed,1
10994,9919,9652,directed,1
10995,9920,9535,directed,1
10996,9921,9706,directed,1
10997,9922,9532,directed,1
10998,9923,9559,directed,1
10999,9924,9505,directed,1
11000,9926,9925,directed,1
11001,9927,9530,directed,1
11002,9929,9928,directed,1
11003,9931,9930,directed,1
11004,9932,9667,directed,1
11005,9933,9551,directed,1
11006,9934,9532,directed,1
11007,9936,9935,directed,1
11008,9938,9937,directed,1
11009,9940,9939,directed,1
11010,9942,9941,directed,1
11011,9943,9555,directed,1
11012,9944,9530,directed,1
11013,9946,9945,directed,1
11014,9948,9947,directed,1
11015,9949,9309,directed,1
11016,9951,9950,directed,1
11017,9952,9667,directed,1
11018,9954,9953,directed,1
11019,9955,9553,directed,1
11020,9956,9362,directed,1
11021,9957,9559,directed,1
11022,9958,9480,directed,1
11023,9960,9959,directed,1
11024,9961,9480,directed,1
11025,9963,9962,directed,1
11026,9965,9964,directed,1
11027,9967,9966,directed,1
11028,9969,9968,directed,1
11029,9971,9970,directed,1
11030,9973,9972,directed,1
11031,9975,9974,directed,1
11032,9976,9309,directed,1
11033,9977,9309,directed,1
11034,9979,9978,directed,1
11035,9981,9980,directed,1
11036,9983,9982,directed,1
11037,9985,9984,directed,1
11038,9986,9537,directed,1
11039,9987,9360,directed,1
11040,9988,9537,directed,1
11041,9989,9304,directed,1
11042,9991,9990,directed,1
11043,9993,9992,directed,1
11044,9995,9994,directed,1
11045,9997,9996,directed,1
11046,9998,9879,directed,1
11047,10000,9999,directed,1
11048,10002,10001,directed,1
11049,10003,9276,directed,1
11050,10005,10004,directed,1
11051,10007,10006,directed,1
11052,10009,10008,directed,1
11053,10011,10010,directed,1
11054,10013,10012,directed,1
11055,10015,10014,directed,1
11056,10017,10016,directed,1
11057,10019,10018,directed,1
11058,10021,10020,directed,1
11059,10023,10022,directed,1
11060,10024,9469,directed,1
11061,10025,9456,directed,1
11062,10027,10026,directed,1
11063,10029,10028,directed,1
11064,10030,9259,directed,1
11065,10032,10031,directed,1
11066,10034,10033,directed,1
11067,10035,9456,directed,1
11068,10036,9259,directed,1
11069,10037,9804,directed,1
11070,10038,9309,directed,1
11071,10040,10039,directed,1
11072,10042,10041,directed,1
11073,10043,9426,directed,1
11074,10044,9549,directed,1
11075,10045,9259,directed,1
11076,10046,9478,directed,1
11077,10047,9586,directed,1
11078,10049,10048,directed,1
11079,10051,10050,directed,1
11080,10053,10052,directed,1
11081,10055,10054,directed,1
11082,10056,9804,directed,1
11083,10058,10057,directed,1
11084,10060,10059,directed,1
11085,10062,10061,directed,1
11086,10064,10063,directed,1
11087,10065,9309,directed,1
11088,10067,10066,directed,1
11089,10068,9309,directed,1
11090,10070,10069,directed,1
11091,10072,10071,directed,1
11092,10074,10073,directed,1
11093,10076,10075,directed,1
11094,10078,10077,directed,1
11095,10080,10079,directed,1
11096,10081,9259,directed,1
11097,10083,10082,directed,1
11098,10085,10084,directed,1
11099,10086,9259,directed,1
11100,10088,10087,directed,1
11101,10090,10089,directed,1
11102,10092,10091,directed,1
11103,10093,10089,directed,1
11104,10095,10094,directed,1
11105,10097,10096,directed,1
11106,10099,10098,directed,1
11107,10101,10100,directed,1
11108,10103,10102,directed,1
11109,10105,10104,directed,1
11110,10106,9804,directed,1
11111,10108,10107,directed,1
11112,10109,10107,directed,1
11113,10111,10110,directed,1
11114,10112,9259,directed,1
11115,10114,10113,directed,1
11116,10116,10115,directed,1
11117,10117,9259,directed,1
11118,10118,10079,directed,1
11119,10120,10119,directed,1
11120,10121,9259,directed,1
11121,10123,10122,directed,1
11122,10124,9456,directed,1
11123,10126,10125,directed,1
11124,10127,10122,directed,1
11125,10128,10122,directed,1
11126,10130,10129,directed,1
11127,10132,10131,directed,1
11128,10133,10098,directed,1
11129,10134,10016,directed,1
11130,10135,10113,directed,1
11131,10137,10136,directed,1
11132,10139,10138,directed,1
11133,10140,10138,directed,1
11134,10141,9259,directed,1
11135,10143,10142,directed,1
11136,10144,9259,directed,1
11137,10145,9259,directed,1
11138,10147,10146,directed,1
11139,10148,10138,directed,1
11140,10149,10142,directed,1
11141,10150,10026,directed,1
11142,10151,10026,directed,1
11143,10152,10077,directed,1
11144,10153,9804,directed,1
11145,10154,10026,directed,1
11146,10156,10155,directed,1
11147,10157,10016,directed,1
11148,10159,10158,directed,1
11149,10160,9259,directed,1
11150,10161,10077,directed,1
11151,10163,10162,directed,1
11152,10164,10162,directed,1
11153,10165,10162,directed,1
11154,10166,10077,directed,1
11155,10167,10041,directed,1
11156,10168,9804,directed,1
11157,10169,9743,directed,1
11158,10170,9804,directed,1
11159,10172,10171,directed,1
11160,10174,10173,directed,1
11161,10175,9259,directed,1
11162,10152,10173,directed,1
11163,10177,10176,directed,1
11164,10179,10178,directed,1
11165,10180,10178,directed,1
11166,10181,10026,directed,1
11167,10182,9259,directed,1
11168,10183,10041,directed,1
11169,10184,9804,directed,1
11170,10185,9259,directed,1
11171,10186,9259,directed,1
11172,10187,9259,directed,1
11173,10188,9259,directed,1
11174,10189,9259,directed,1
11175,10190,9259,directed,1
11176,10191,9259,directed,1
11177,10193,10192,directed,1
11178,10193,10194,directed,1
11179,10195,9259,directed,1
11180,10197,10196,directed,1
11181,10198,9259,directed,1
11182,10199,9259,directed,1
11183,10200,9860,directed,1
11184,10201,9962,directed,1
11185,10202,9962,directed,1
11186,10204,10203,directed,1
11187,10205,9849,directed,1
11188,10207,10206,directed,1
11189,10208,9849,directed,1
11190,10209,9849,directed,1
11191,10211,10210,directed,1
11192,10212,10039,directed,1
11193,10214,10213,directed,1
11194,10215,10158,directed,1
11195,10217,10216,directed,1
11196,10218,10216,directed,1
11197,10219,9612,directed,1
11198,10220,9612,directed,1
11199,10222,10221,directed,1
11200,10224,10223,directed,1
11201,10225,9319,directed,1
11202,10227,10226,directed,1
11203,10229,10228,directed,1
11204,10230,9360,directed,1
11205,10232,10231,directed,1
11206,10233,9812,directed,1
11207,10234,9360,directed,1
11208,10236,10235,directed,1
11209,10237,10014,directed,1
11210,10238,9804,directed,1
11211,10239,9360,directed,1
11212,10240,9360,directed,1
11213,10241,9259,directed,1
11214,10242,9353,directed,1
11215,10243,9812,directed,1
11216,10245,10244,directed,1
11217,10247,10246,directed,1
11218,10249,10248,directed,1
11219,10250,9456,directed,1
