Id,name,node_type,department,faculty
11586,epitope distribution in ordered and disordered protein regions. part b - ordered regions and disordered binding sites are targets of t- and b-cell immunity,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11587,"epitope distribution in ordered and disordered protein regions - part a. t-cell epitope frequency, affinity and hydropathy",publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11588,parallelizing simplex within smt solvers,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11589,extending smt solvers with support for finite domain alldifferent constraint,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11590,solving finite-domain linear constraints in presence of the alldifferent,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11591,a variant of n-gram based language-independent text categorization,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11592,serbian text categorization using byte level n-grams,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11593,an improved electromagnetism-like method for feature selection,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11594,case-based reasoning and electromagnetism-like method in construction management,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11595,electromagnetism metaheuristic algorithm for solving the strong minimum energy topology problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11596,computational analysis of position-dependent disorder content in disprot database,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11597,argotrics–automated triangle construction solver,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11598,sparse regression interaction models for spatial prediction of soil properties in 3d,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11599,pseudo-random number generator based on discrete-space chaotic map,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11600,software verification and graph similarity for automated evaluation of students' assignments,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11601,mapping efficiency and information content,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11602,measuring similarity of graph nodes by neighbor matching,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11603,statistical methodology for comparison of sat solvers,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11604,development and evaluation of lav: an smt-based error finding platform: system description,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11605,ensuring safe usage of buffers in programming language c,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11606,semi-automatic extraction of multiword terms from domain-specific corpora,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11607,"a new course on r&amp;d project management in computer science and engineering: subjects taught, rationales behind, and lessons learned",publication,"{'katedra za racunarstvo i informatiku', 'katedra za racunarsku tehniku i informatiku'}","{'elektrotehnicki fakultet', 'matematicki fakultet'}"
11608,enriching serbianwordnet and electronic dictionaries with terms from the culinary domain,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11609,novel formulations and vns-based heuristics for single and multiple allocation p-hub maximal covering problems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11610,a vns-lp algorithm for the robust dynamic maximal covering location problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11611,modeling of hilic retention behavior with theoretical models and new spline interpolation technique,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11612,solving the robust two-stage capacitated facility location problem with uncertain transportation costs,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11613,a hybrid metaheuristic method for the deterministic and robust uncapacitated multiple allocation p-hub centre problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11614,a two-phase optimization method for solving the multi-type maximal covering location problem in emergency service networks,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11615,memetic algorithm for the balanced resource location problem with preferences,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11616,hybrid metaheuristic method for solving a multi-period emergency service location problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11617,an efficient variable neighborhood search for solving a robust dynamic facility location problem in emergency service network,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11618,efficient metaheuristic approaches for exploration of online social networks,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11619,a memetic algorithm for solving two variants of the two-stage uncapacitated facility location problem,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11620,automatic drug adverse reaction discovery from parenting websites using disproportionality methods,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11621,extracting drug adverse and beneficial reactions in pediatric population from healthcare social network,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11622,experience from porting complex algorithms on heterogeneous multi-core systems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11623,driver monitoring algorithm for advanced driver assistance systems,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11624,optimization of driver monitoring adas algorithm for heterogeneous platform,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11625,change in the incidence and anatomic distribution of colorectal adenoma and cancer over a period of 20 years – a single center experience [promene u incidenci i anatomskoj distribuciji kolorektalnih adenoma i karcinoma u periodu od 20 godina – iskustvo jednog centra],publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11626,doppler ultrasonography combined with transient elastography improves the non-invasive assessment of fibrosis in patients with chronic liver diseases,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11627,erythropoietin in the evaluation of treatment outcomes in patients with polytrauma,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11628,erythropoietin in predicting prognosis in patients with acute-on-chronic liver failure,publication,{'katedra za racunarstvo i informatiku'},{'matematicki fakultet'}
11629,nutie - a modern open source natural language processing toolkit,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11630,algorithm for calculating influence of power transformer oil temperature change on the accuracy of all-acoustic non-iterative partial discharge localization,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11631,sentiment classification of documents in serbian: the effects of morphological normalization,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11632,a software agent for social networks using natural language processing techniques,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11633,testing artificial intelligence knowledge with interactive web system [veb sistem za polaganje testova znanja iz inteligentnih sistema],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11634,sentiment classification of documents in serbian: the effects of morphological normalization and word embeddings,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11635,a systematic approach to generation of new ideas for phd research in computing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11636,serious gaming based on kinect technology for autistic children in serbia,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11637,reliable baselines for sentiment analysis in resource-limited languages: the serbian movie review dataset,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11638,a classification of elearning tools based on the applied multimedia,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11639,implementation of android application for faculty employees [realizacija android aplikacije za potrebe zaposlenih na fakultetu],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11640,text content analysis using ontology and semantic similarity [analiziranje sadrzaja tekstova upotrebom ontologije i semanticke slicnosti],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11641,insos - educational system for teaching intelligent systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11642,ewisens: educational wireless sensor network simulator,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11643,integration of simulators in virtual 3d computer science classroom,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11644,feasibility of applying data mining techniques for predicting technical difficulties during laparoscopic cholecystectomy based on routine patient work-up in a small community hospital,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11645,a survey and evaluation of state-of-the-art intelligent question routing systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11646,semantic similarity of short texts in languages with a deficient natural language processing support,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11647,software system for expert systems learning,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11648,sdlds-system for digital logic design and simulation,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11649,software framework for development and running multiplayer games [softverski sistem za razvoj i pokretanje igara za vise igraca],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11650,a survey of intelligent question routing systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11651,a classification of mutational approaches for genetic search,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11652,a module for automatic assessment and verification of students' work in digital logic design,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11653,a software system for determining the semantic similarity of short texts in serbian [softverski sistem za odredivanje semanticke slicnosti kratkih tekstova na srpskom jeziku],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11654,the vsds environment based laboratory in computer architecture and organisation,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11655,digital logic simulator,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11656,a survey and evaluation of simulators suitable for teaching courses in computer architecture and organization,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11657,cal2: computer aided learning in computer architecture laboratory,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11658,wasp: a web-based simulator for an educational pipelined processor,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11659,a memory system for education,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11660,flexible web-based educational system for teaching computer architecture and organization,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11661,software package for an educational computer system,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11662,castle: computer architecture self-testing and learning system,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11663,practical large-scale model-driven development of business applications with an executable uml,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11664,discovering block-structured parallel process models from causally complete event logs,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11665,an interactive tool for uml class model evolution in database applications,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11666,capwise-a domain-specific language for developing graphical user interfaces,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11667,a survey of object-relational transformation patterns for high-performance uml-based applications,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11668,discovering models of parallel workflow processes from incomplete event logs,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11669,empirical analysis of gui programming concerns,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11670,a retrospective on user interface development technology,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
