Id,name,node_type,department,faculty
11879,experiences in the teaching of a new computing paradigm: dataflow supercomputing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11880,configurable simulator for computer architecture and organization,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11881,a survey and evaluation of free and open source simulators suitable for teaching courses in wireless sensor networks,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11882,restart optimization for transactional memory with lazy conflict detection,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11883,comparison of binary procedures: a set of techniques for evading compiler transformations,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11884,approach for estimating similarity between procedures in differently compiled binaries,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11885,erle: embedded run length image encoding,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11886,an implementation of air traffic control simulator,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11887,simulator of touch sensitive components [simulator elektronskih komponenti osetljivih na dodir],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11888,design of the simulator for teaching computer architecture and organization,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11889,2d-rbuc for efficient parallel compression of residuals,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11890,fast cuda-based codec for height fields,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11891,hfpac: gpu friendly height field parallel compression,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11892,seegl: software tool for learning the opengl graphics library [seegl: softverski alat za ucenje graficke biblioteke opengl],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11893,domino tiling: a new method of real-time conforming mesh construction for rendering changeable height fields,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11894,two branch predictor schemes for reduction of misprediction rate in conditions of frequent context switches,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11895,evaluating two-bit branch predictors for user/kernel code,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11896,a survey of heterogeneous computing: concepts and systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11897,branch mechanisms in deep pipelines: reevaluating the existing solutions and proposing a new guideline,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11898,em3: a taxonomy of heterogeneous computing systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11899,adding practical experience to computer security course,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11900,a development of a configurable system for handling x509 certificates [razvoj konfigurabilnog sistema za rad sa x509 sertifikatima],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11901,visual software system for memory interleaving simulation,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11902,transition from traditional to lms supported examining: a case study in computer engineering,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11903,data encryption standard visual representation,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11904,application of moodle platform in computer engineering courses [primena moodle platforme u nastavi racunarske tehnike i informatike],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11905,software system for visual representation of the advanced encryption standard algorithm [softverski sistem za vizuelnu reprezentaciju advanced encryption standard algoritma],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11906,"human-computer interaction in an integrated environment combining digital tv, mobile devices and internet",publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11907,rebooting the tv-centric gaming concept for modern multiscreen over-the-top service,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11908,"an integrated environment and development framework for social gaming using mobile devices, digital tv and internet",publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11909,tv-centric gaming applications for android os: architecture and a framework,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11910,tv-centric multiplayer gaming over the cloud for consumer electronic devices,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11911,implementation of a social gaming cloud service for mobile and tv devices [realizacija racunarskog servisa u oblaku za drustvene igre za mobilne i tv uredaje],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11912,integration of communication services for android-based set-top box applications [integracija komunikacionih servisa na primeru aplikacije za digitalni tv prijemnik sa android os],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11913,simulation of software defined networks in mininet environment [koriscenje mininet okruzenja za simulaciju softverski definisanih mreza],publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11914,a transparent and scalable anomaly-based dos detection method,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11915,of2nf: flow monitoring in openflow environment using netflow/ipfix,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11916,federated trouble ticket system for service management support in loosely coupled multi-domain environments,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11917,a network management architecture proposal for the géantnren environment,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11918,a survey of dual data cache systems,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11919,an efficient mechanism of cryptographic synchronization within selectively encrypted h.265/hevc video stream,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11920,european cloud collaboration through géant,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11921,ensemble classifiers for supervised anomaly based network intrusion detection,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11922,packet dispersion strategy evaluation from the perspective of packet loss pattern and voip quality,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11923,a novel scheme for dynamic triggering of packet dispersion,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11924,dynamic packet dispersion based on multi-threshold buffer occupancy,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11925,seamless integration of network management tools in a multi-domain environment,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11926,hybrid approaches to mutation in genetic search algorithms,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11927,a model of software system for parking using search algorithms,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11928,developing critical computer literacy for academic subjects english for software engineering and expert systems at the department of software engineering university of belgrade,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11929,dual data cache systems. architecture and analysis.,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11930,a modified split temporal/spatial cache,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11931,"a classification of data mining algorithms for wireless sensor networks, and classification extension to concept modeling in system of wireless sensor networks based on natural language processing",publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11932,facial profile esthetics change of class ii malocclusion patients treated with the herbst appliance as perceived by orthodontists and laypersons,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11933,an appgallery for dataflow computing,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11934,advances in high performance computing and related issues,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11935,recycled ic detection based on statistical methods,publication,{'katedra za racunarsku tehniku i informatiku'},{'elektrotehnicki fakultet'}
11936,automating etl processes using the domain-specific modeling approach,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11937,business process model life-cycle management in cloud manufacturing,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11938,the systems development life cycle to facilitate progression towards semantic and organizational interoperability for healthcare system,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11939,enhancing bpmn 2.0 informational perspective to support interoperability for cross-organizational business processes,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11940,specification of data schema mappings using weaving models,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11941,web-based implementation of replenishment process in distribution channels - a case study,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11942,on using weaving models to specify schema mappings,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11943,towards an interoperable production system [interoperabilnost proizvodnih sistema],publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11944,semantic enterprise application integration standards,publication,{'katedra za informacione sisteme'},{'fakultet organizacionih nauka'}
11945,software quality standards and lean approach in teaching and learning programming,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11946,a pattern language for use cases specification,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11947,conceptual model of software architecture in instruction java web frameworks,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11948,use case specification using the silabreq domain specific language,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11949,from software specification to cloud model,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11950,preliminary experience using jetbrains mps to implement a requirements specification language,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11951,use case specification at different levels of abstraction,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11952,language for use case specification,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11953,model and software tool for automatic generation of user interface based on use case and data model,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11954,guidelines for framework development process,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11955,the explanation of the design patterns by the symmetry concepts,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11956,extended software architecture based on security patterns,publication,"{'katedra za informacione tehnologije', 'katedra za softversko inzenjerstvo'}",{'fakultet organizacionih nauka'}
11957,design patterns application in the erp systems improvements,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11958,explanation of software entropy by golden ratio and logarithmic spiral,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11959,enhancing workplace learning activities in intelligent learning extended organizations,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11960,grading students' programming and soft skills with open badges: a case study,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11961,a framework for technology enhanced education in orthopaedics: knee surgery case study,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11962,textual affect communication and evocation using abstract generative visuals,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11963,"not fade away?: commentary to paper education and the semantic web (ijaied vol.14, 2004)",publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11964,developing open badges: a comprehensive approach,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11965,"open badges: novel means to motivate, scaffold and recognize learning",publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11966,service-oriented development of content and knowledge provision tool,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11967,a comparative study of software tools for user story management,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11968,grading soft skills with open badges,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11969,social presence and interaction in learning environments: the effect on student success,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11970,"technology enhanced learning – the wild, the innocent and the e street shuffle",publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11971,open badges: challenges and opportunities,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11972,content and knowledge provision service - a way to build intellectual capital in learning organizations,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11973,synesketch: an open source library for sentence-based emotion recognition,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11974,semi-automatic generation of quizzes and learning artifacts from linked data,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11975,visualizing the affective structure of students interaction,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11976,adaptive neuro-fuzzy pedagogical recommender,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11977,web service support for collaboration between demographers,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11978,agile erp systems development: a technical perspective,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11979,incorporating the ontology paradigm into software engineering: enhancing domain-driven programming in clojure/java,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11980,incorporating the ontology paradigm into a mainstream programming environment,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11981,teaching agile software development: a case study,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11982,using new web technologies in teaching demography,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11983,using data mining to improve digital library services,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11984,magic potion: incorporating new development paradigms through metaprogramming,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11985,specifying cases for technology enhanced learning in a small and medium enterprise,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11986,imagine: using new web technologies in demography,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11987,enhancing a core journal collection for digital libraries,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11988,modeling ontologies as executable domain specific languages,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11989,comex: a cost management expert system,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11990,duplicate journal title detection in references,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11991,specifying cases for tel in an sme,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11992,modeling service orchestrations with a rule-enhanced business process language,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11993,learning scenarios and services for an sme: collaboration between an sme and a research team,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11994,model transformations to bridge concrete and abstract syntax of web rule languages,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11995,bridging concrete and abstract syntaxes in model-driven engineering: a case of rule languages,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11996,model driven engineering of a tableau algorithm for description logics,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11997,tangram for personalized learning using the semantic web technologies,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11998,applying semantic web to e-tourism,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
11999,towards more intelligent assessment systems,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12000,clarifying the meta,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12001,loco-analyst: semantic web technologies in learning content usage analysis,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12002,sharing ocl constraints by using web rules,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12003,loco-analyst: a tool for raising teachers' awareness in online learning environments,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12004,leveraging the semantic web for providing educational feedback,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12005,business process integration by using general rule markup language,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12006,bridging concrete and abstract syntax of web rule languages,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12007,interoperable petri net models via ontology,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12008,using semantic web technologies to analyze learning content,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12009,virtual consultant in welding - creation of the content server,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12010,the pragmatics of current e-learning standards,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12011,ontology-based annotation of learning object content,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12012,mda-based automatic owl ontology development,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12013,linking method for selecting educational web resources à la zigzag,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12014,adopting software engineering trends in ai,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12015,automatic annotation of content units in tangram,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12016,mda-based architecture of a description logics reasoner,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12017,javadon: an open-source expert system shell,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12018,petri net ontology,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12019,translating a knowledge base into html,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12020,bolero.net in the semantic web and grid environment,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12021,automating semantic annotation to enable learning content adaptation,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12022,the tao of modeling spaces,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12023,ontology-based automatic annotation of learning content,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12024,dynamic assembly of personalized learning content on the semantic web,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12025,towards sharing rules between owl/swrl and uml/ocl,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12026,computer - supported collaborative learning,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12027,synergy of performance-based model and cognitive trait model in dp-its,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12028,patternguru: an educational system for software patterns,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12029,semiotics for ontologies and knowledge representation,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12030,emotional semantic grid,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12031,ontologies for reusing learning object content,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12032,eq: an adaptive educational hypermedia-based bdi agent system for the semantic web,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12033,classroom for the semantic web,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12034,a uml profile for owl ontologies,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12035,research community knowledge portals,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12036,software patterns in its architectures,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12037,ontology modeling and mda,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12038,mda-based ontological engineering,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12039,from uml to ready-to-use owl ontologies,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12040,jess goes graphical,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12041,reusing petri nets through the semantic web,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12042,design pattern its: student model implementation,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12043,student modeling in design pattern its,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12044,ontologies for creating learning object content,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12045,converting uml to owl ontologies,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12046,the semiotics contribution on the web,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12047,enhancing learning object content on the semantic web,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12048,web intelligence and artificial intelligence in education,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12049,teaching petri nets using p3,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12050,a model of multitutor ontology-based learning environments,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12051,a gui for jess,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12052,remarks on the variety and significance of advanced learning technologies,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12053,fuzzy systems based on component software,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12054,education and the semantic web,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12055,artificial intelligence applications and innovations,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12056,uml profile for owl,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12057,think ahead: evaluation and standardisation issues for e-learning applications,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12058,code tutor,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12059,software support for teaching petri nets: p3,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12060,web based learning environment as a passive web document,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12061,next-generation web-based education,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12062,key issues in next-generation web-based education,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12063,building an intelligent system using modern internet technologies,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12064,what does current web-based education lack?,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12065,expert systems in finance - a cross-section of the field,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12066,understanding ontological engineering,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12067,design and analysis patterns in its architectures,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12068,architectural patterns in pedagogical agents,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12069,knowledge modeling - state of the art,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12070,discovering patterns in learning technology systems,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12071,a pattern language for intelligent tutoring systems,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12072,teaching formal languages by an intelligent tutoring system,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12073,applying patterns to its architectures,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12074,a framework for building intelligent manufacturing systems,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12075,a survey of modern knowledge modeling techniques,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12076,pieces of mind: component-based software development of artificial intelligence,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12077,representational hierarchy of fuzzy logic concepts in the oboa model,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12078,designing an intelligent tutoring system in the domain of formal languages,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12079,an intelligent tutoring system for teaching formal languages,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12080,on the notion of components for intelligent tutoring systems,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12081,the component based model of the control knowledge in an intelligent tutoring shell,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12082,control knowledge and pedagogical aspects of the get-bits model,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12083,oboa model of explanation module in intelligent tutoring shell,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12084,object model of intelligent tutoring shell,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12085,object-oriented modelling of expert system reasoning process,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12086,an object-oriented shell for intelligent tutoring lessons,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12087,designing knowledge-based systems for optimal performance,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12088,knowledge-based control of rotary kiln,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12089,review of new expert systems in medicine [pregled novijih medicinskih ekspertnih sistema.],publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12090,modern expert systems and their use in medicine [savremeni ekspertni sistemi i njihova primena u medicini.],publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12091,development and use of expert systems in medicine [problemi razvoja i primene ekspertnih sistema u medicini.],publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12092,fast reasoning with external data on personal computers,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12093,1990,year,set(),set()
12094,a knowledge-based system for the strategic control level of robots in flexible manufacturing cells,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12095,features of second-generation expert systems-an extended overview,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12096,rex: robotics expert systems building tool,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12097,penetrating the omerta of predatory publishing: the romanian connection,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12098,highway: a domain specific language for enterprise application integration,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12099,functional programming way to interact with software attacks and vulnerabilities,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12100,air - a platform for intelligent systems,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12101,confirmation of anti-hcv results in blood donors,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
12102,immunoglobulin and albumin preparations and transfusion transmisstve diseases,publication,{'katedra za softversko inzenjerstvo'},{'fakultet organizacionih nauka'}
